sourceID, destID, weight
B0, K1, 1
B0, K2, 1
B0, SC1, 1
B0, SP1, 1 
B0, SSB1, 1 
K1, K2, 1
K1, SC1, 1
K1, SP1, 1 
K1, SSB1, 1
K2, SC1, 1
K2, SP1, 1 
K2, SSB1, 1
SP1, SSB1, 1
SP1, SC1, 1
SC1, SSB1, 1
SAR1, MACK1, 1
MACK1, ANC1, 1
ANC1, SAR1, 1
SP1, SAR1, 2
SP1, MACK1, 2
SP1, ANC1, 2
SSB1, SAR1, 2
SSB1, MACK1, 2
SSB1, ANC1, 2
SD1, SAR1,3 
SD1, MACK1, 3
SD1, ANC1, 3
SD1, CH1, 1
SD1, PH1, 1
SD1, DC1, 1
SD1, FL1, 1
SD1, SL1, 1
CH1, PH1, 1
CH1, DC1, 1
CH1, FL1, 1
CH1, SL1, 1
PH1, DC1, 1
PH1, FL1, 1
PH1, SL1, 1
DC1, FL1, 1
DC1, SL1, 1
FL1, SL1, 1
PH1, YFT1, 5
CH1, YFT1, 5
DC1, YFT1, 5
FL1, YFT1, 5
SL1, YFT1, 5
YFT1, BFT1, 8
RF1, RC1, 1
RF1, LC1, 1
RC1, LC1, 1
SAR1, RF1, 3
MACK1, RF1, 3
ANC1, RF1, 3
SAR1, RC1, 3
MACK1, RC1, 3
ANC1, RC1, 3
SAR1, LC1, 3 
MACK1, LC1, 3
ANC1, LC1, 3
RC1, SM1, 3
RF1, SM1, 4
LC1, SM1, 4
