id,nick_name,Type_of_deposit,location,gold_Grams_per_ton,silver_Grams_per_ton,copper_Grams_per_ton
1,silver triangle,Epithermal,Oatmann,20.0,100.0,0.0
2,abc,Epithermal,Search Light,0.0,141.7476,20000.0
3,null,Placer,Colorado River,0.05349185435662501,0.08963999160932029,0.0
4,null,Epithermal,Good Springs,2.179050202154232,5.422189310560476,0.0
5,null,Placer,Colorado River,0.197605244751291,0.08382964977679104,0.0
6,null,Placer,Colorado River,0.43883528129676075,0.08726402769581884,0.0
7,null,Epithermal,Oatmann,8.376960189975952,2.117900642386261,0.0
8,null,Placer,Colorado River,0.4517820773341893,0.04591338734306636,0.0
9,null,Epithermal,Oatmann,5.41140814800876,21.820278034780515,0.0
10,null,Epithermal,Search Light,1.5718473063362626,32.60052479896135,0.0
11,null,Epithermal,Oatmann,4.432140847074566,0.0680393052720607,0.0
12,null,Sediment,Pacific Ocean,3.9395840644194524,42.57206486728368,11402.81563597349
13,null,Placer,Klondike,0.25270790604727683,0.05589046659902191,0.0
14,null,Sediment,Pacific Ocean,3.341426792939186,51.891721920001096,22415.83188975935
15,null,Epithermal,Search Light,2.997440291787312,50.70695674722426,0.0
16,null,Placer,Klondike,0.1693302206185654,0.08759434416269063,0.0
17,null,Placer,Streams in the Sierra Nevada Mountains,0.3787228547556569,0.03845179569314299,0.0
18,null,Epithermal,Search Light,7.890023543927326,12.811745691807385,0.0
19,null,Placer,Klondike,0.03964096112787496,0.04089368290258258,0.0
20,null,Placer,Klondike,0.01855572062052052,0.08723259858502846,0.0
21,null,Placer,Colorado River,0.22576799707964157,0.040562440298981456,0.0
22,null,Epithermal,Oatmann,5.897351174207466,94.52647122782285,0.0
23,null,Epithermal,Search Light,1.5098936572898913,40.33441213574531,0.0
24,null,Sediment,Arctic Ocean,4.205749424797919,0.785749043257451,11795.377210718516
25,null,Placer,Klondike,0.37463881021509804,0.0946806055027087,0.0
26,null,Epithermal,Search Light,5.469228489168082,59.06711020048174,0.0
27,null,Placer,Klondike,0.2752809883982374,0.041163647312729895,0.0
28,null,Sediment,Indian Ocean,0.9377499819453478,40.76065109016911,14740.986737636518
