Type_of_deposit,location,min_Gold_Grams_per_ton,min_Silver_Grams_per_ton,min_Copper_Grams_per_ton,min_Profit,min_Revenue
null,Search Light,8.833235867852757,47.76903040033063,0.0,0.0,152.912897910995
null,Indian Ocean,0.2593262176999189,16.211216320215904,0.0,506.2895764826026,962.6414550449962
Sediment,Arctic Ocean,0.0,0.0,0.0,681.6703498589709,0.0
Placer,null,0.0,0.0,0.0,654.3358003256271,101.23286661487052
Epithermal,null,0.8850239113548097,97.41187519123412,0.0,0.0,0.0
null,null,2.8033404156953177,22.803797237335566,0.0,0.0,570.4858827906303
Sediment,Arctic Ocean,2.6446631112584154,0.0,0.0,738.7273989687309,0.0
null,Good Springs,0.0,0.0,0.0,0.0,29.931375923474725
null,null,0.5898390490553262,0.0,0.0,545.0189093785538,1262.8881005998264
null,Good Springs,4.825243694864769,1.387332115226736,0.0,188.04984726523978,534.7795743672865
