sale_id,sale_date,amount,product
0,879-10-21,15.88,goodName0
1,39-8-4,44.93,goodName1
2,1729-10-24,17.88,goodName2
3,2438-4-3,68.52,goodName3
4,491-1-14,20.07,goodName4
5,1045-10-12,38.45,goodName5
6,838-2-6,1.33,goodName6
7,763-9-31,52.49,goodName7
8,2021-11-11,93.83,goodName8
9,1988-5-23,15.26,goodName9
10,1141-5-18,1.05,goodName10
11,2329-8-2,42.81,goodName11
12,1486-2-22,82.04,goodName12
13,2119-8-6,12.32,goodName13
14,729-4-24,76.78,goodName14
15,328-12-17,21.33,goodName15
16,1469-12-25,28.15,goodName16
17,847-3-11,86.13,goodName17
18,1447-8-17,6.26,goodName18
19,467-11-16,52.73,goodName19
20,1066-1-17,39.33,goodName20
21,1901-9-9,92.43,goodName21
22,717-9-1,14.37,goodName22
23,2449-6-16,73.59,goodName23
24,1019-3-29,30.26,goodName24
25,2298-9-29,32.36,goodName25
26,2389-9-6,96.32,goodName26
27,1362-10-17,53.79,goodName27
28,1738-4-18,78.96,goodName28
29,841-11-19,64.60,goodName29
30,2496-10-8,83.78,goodName30
31,264-9-30,61.25,goodName31
32,1898-12-2,37.98,goodName32
33,1011-9-13,40.60,goodName33
34,1359-10-18,47.59,goodName34
35,1969-11-3,38.37,goodName35
36,491-8-31,92.80,goodName36
37,1287-8-25,98.44,goodName37
38,2461-6-9,92.92,goodName38
39,1725-7-13,46.43,goodName39
40,2288-3-5,9.39,goodName40
41,498-3-3,45.13,goodName41
42,1489-6-7,39.25,goodName42
43,2207-1-11,92.63,goodName43
44,2290-3-1,21.36,goodName44
45,553-12-22,10.94,goodName45
46,2498-7-30,10.35,goodName46
47,2074-7-15,65.02,goodName47
48,1366-8-3,20.14,goodName48
49,2394-6-13,34.50,goodName49
50,894-1-18,98.76,goodName50
51,2395-10-20,65.37,goodName51
52,1620-1-13,56.59,goodName52
53,2332-8-17,43.15,goodName53
54,2250-12-22,36.82,goodName54
55,1427-11-11,97.03,goodName55
56,1238-3-27,77.75,goodName56
57,1433-3-17,24.50,goodName57
58,1413-3-7,10.75,goodName58
59,1024-1-24,64.21,goodName59
60,571-1-20,30.45,goodName60
61,1460-8-25,27.86,goodName61
62,1903-1-20,1.62,goodName62
63,109-12-27,17.97,goodName63
64,412-5-21,26.78,goodName64
65,1833-4-25,77.08,goodName65
66,1984-3-24,76.71,goodName66
67,25-3-11,7.67,goodName67
68,560-8-24,98.61,goodName68
69,2047-8-12,46.99,goodName69
70,14-8-15,86.45,goodName70
71,1520-5-11,27.81,goodName71
72,893-1-6,77.85,goodName72
73,1571-8-25,70.99,goodName73
74,157-3-30,95.33,goodName74
75,2117-8-22,3.12,goodName75
76,1933-5-26,84.05,goodName76
77,2151-7-31,22.78,goodName77
78,553-12-13,9.81,goodName78
79,2269-5-16,51.92,goodName79
80,915-8-7,98.67,goodName80
81,747-5-27,97.05,goodName81
82,2125-9-18,64.94,goodName82
83,1059-9-12,64.30,goodName83
84,1287-11-17,31.30,goodName84
85,466-8-12,1.08,goodName85
86,1749-5-10,2.89,goodName86
87,887-3-9,85.58,goodName87
88,76-2-25,41.47,goodName88
89,595-8-6,51.85,goodName89
90,2368-11-15,88.81,goodName90
91,1345-3-14,17.92,goodName91
92,2208-4-20,90.71,goodName92
93,175-12-16,4.79,goodName93
94,620-8-13,3.89,goodName94
95,2024-11-30,28.19,goodName95
96,2250-6-4,55.39,goodName96
97,491-11-15,47.60,goodName97
98,1554-8-20,88.78,goodName98
99,1630-5-9,10.07,goodName99
